file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,delete/1[java.lang.Long],false,78,3,1,1,4,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,add/1[br.ufc.great.syspromocity.controller.Model],false,53,3,1,1,4,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setUserService/1[br.ufc.great.syspromocity.service.UsersService],false,44,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setCouponService/1[br.ufc.great.syspromocity.service.CouponsService],false,49,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexStoreOwner/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",false,159,8,2,10,19,1,4,2,10,1,2,0,1,0,0,7,1,8,0,1,0,0,0,24,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,checkAccessControl/0,false,206,1,2,1,8,0,0,0,1,1,1,0,0,0,0,3,0,2,0,1,0,0,0,12,2,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"index/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",false,75,3,9,1,16,4,1,2,1,1,1,0,0,0,0,17,0,4,6,1,0,0,0,17,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexAdmin/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",false,101,6,1,11,22,1,5,2,11,1,2,0,0,0,0,10,4,10,0,0,0,0,0,22,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setPromotionService/1[br.ufc.great.syspromocity.service.PromotionsService],false,54,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexUser/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",false,136,6,1,8,12,1,2,2,8,1,2,0,0,0,0,7,0,3,0,0,0,0,0,17,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setStoreService/1[br.ufc.great.syspromocity.service.StoresService],false,59,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setMyStoresService/1[br.ufc.great.syspromocity.service.MyStoresService],false,64,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,hasRole/1[java.lang.String],false,189,1,3,5,11,1,2,1,5,0,0,1,0,0,0,0,0,3,0,2,0,0,0,19,2,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/StoreController.java,br.ufc.great.syspromocity.controller.StoreController,"save/2[br.ufc.great.syspromocity.model.Store,br.ufc.great.syspromocity.controller.RedirectAttributes]",false,148,4,1,3,6,1,1,2,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,15,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/StoreController.java,br.ufc.great.syspromocity.controller.StoreController,"deleteStoreOfUser/2[java.lang.Long,java.lang.Long]",false,442,3,1,1,5,1,1,2,1,0,0,0,0,0,0,5,0,1,2,0,0,0,0,13,1,0,true
